cluster,niche_name,competition_count,predicted_demand_median,predicted_demand_mean,observed_review_median,rated_gig_count,median_price_pkr,demand_score,competition_score,low_competition_score,market_gap_score,market_gap_rank
10,excel / vba / macros,77,77.52442823959711,108.47847425255821,146.5,52,3263.0,1.0,0.1277056277056277,0.8722943722943723,95.53030303030303,1
3,scraping / web / web scraping,97,47.46490893136628,89.02594393178222,68.0,73,3263.0,0.6021512228797333,0.17099567099567098,0.829004329004329,68.15498100233418,2
0,google / sheets / google sheets,41,32.133369087535485,88.17739640230394,61.0,32,6526.0,0.3992326626827796,0.04978354978354979,0.9502164502164502,59.20769883195642,3
2,data science / science / data,74,12.480473431238327,17.92469086912844,15.0,57,6526.0,0.13911937133054306,0.1212121212121212,0.8787878787878788,39.80033489406106,4
6,learning / machine / machine learning,113,14.07999839149763,23.432015177144955,20.0,95,10876.0,0.1602896715900771,0.2056277056277056,0.7943722943722944,38.22185895638531,5
11,engineer / data engineer / data,18,2.2434151242685023,2.7606543985984127,2.5,4,5982.0,0.0036281451743880276,0.0,1.0,35.23582943633522,6
9,big data / big / data,39,3.440483927129411,5.2860220120626975,4.0,19,4351.0,0.019471790392514583,0.045454545454545456,0.9545454545454546,34.674757284604354,7
7,develop / develop data / data,32,2.3074814710998575,3.713322040011807,2.0,13,10332.0,0.004476086802464505,0.030303030303030304,0.9696969696969697,34.230339581554134,8
4,python / analysis / using,105,8.044388636868623,16.309465570098013,18.0,53,5438.0,0.08040615996662955,0.18831168831168832,0.8116883116883117,33.63549130692183,9
5,engineering / data engineering / data,81,1.9692901144796364,2.9590422933888947,1.5,28,5438.0,0.0,0.13636363636363635,0.8636363636363636,30.227272727272727,10
8,etl / data / create,102,2.2400348469148983,2.8975702000354935,2.0,31,4351.0,0.0035834059622380024,0.18181818181818182,0.8181818181818181,28.869285023909104,11
1,data / help / provide,480,4.439497943398033,9.18875344536023,9.0,172,4351.0,0.03269410777633405,0.9999999999999999,1.1102230246251565e-16,2.1251170054617172,12
